date,city_code ,temp_mean,temp_max,temp_min,hdd,dew_point,humidity_avg,humidity_max,humidity_min, precipitation, sea_level_pressure,wind_speed_avg,wind_speed_max, visibility, events
5/6/77,KFTY,86,88,84,N/A,63,46,49,40,1.78,30,N/A,8,7,
5/7/77,KFTY,64,73,64,1,66,88,90,87,0,30.02,N/A,0,8,
5/8/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29,N/A,N/A,N/A,N/A,N/A
5/9/77,KFTY,N/A,73,73,N/A,36,25,25,25,0,29.82,N/A,13,20,
5/10/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/11/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/12/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/13/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/14/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/15/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/16/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/17/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/18/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/19/77,KFTY,N/A,63,63,N/A,58,84,84,84,0,30.14,N/A,0,4,Fog
5/20/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.48,N/A,N/A,N/A,N/A,N/A
5/21/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29,N/A,N/A,N/A,N/A,N/A
5/22/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/23/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/24/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.22,N/A,N/A,N/A,N/A,N/A
5/25/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.36,N/A,N/A,N/A,N/A,N/A
5/26/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A
5/27/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.16,N/A,N/A,N/A,N/A,N/A
5/28/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/29/77,KFTY,N/A,73,73,N/A,67,79,79,79,0,29.91,N/A,9,7,Rain Thunderstorm
5/30/77,KFTY,82,88,82,N/A,66,54,58,49,1.28,30.02,N/A,6,10,
5/31/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/1/77,KFTY,N/A,68,68,N/A,64,87,87,87,0,29.95,N/A,0,5,Fog
6/2/77,KFTY,N/A,69,69,N/A,58,68,68,68,0,29.89,N/A,0,10,
6/3/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/4/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/5/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/6/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/7/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.04,N/A,N/A,N/A,N/A,N/A
6/8/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/9/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/10/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/11/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/12/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.3,N/A,N/A,N/A,N/A,N/A
6/13/77,KFTY,N/A,71,71,N/A,66,84,84,84,0,29.97,N/A,0,5,
6/14/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/15/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/16/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/17/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/18/77,KFTY,N/A,71,71,N/A,68,90,90,90,0,30.1,N/A,0,4,Fog
6/19/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/20/77,KFTY,N/A,72,72,N/A,69,91,91,91,0,29.99,N/A,7,7,
6/21/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.42,N/A,N/A,N/A,N/A,N/A
6/22/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/23/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.7,N/A,N/A,N/A,N/A,N/A
6/24/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/25/77,KFTY,N/A,81,81,N/A,74,79,79,79,0,29.96,N/A,0,7,
6/26/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/27/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06,N/A,N/A,N/A,N/A,N/A
6/28/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
6/29/77,KFTY,N/A,72,72,N/A,69,91,91,91,0,30.01,N/A,0,10,
6/30/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/1/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.46,N/A,N/A,N/A,N/A,N/A
7/2/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.56,N/A,N/A,N/A,N/A,N/A
7/3/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/4/77,KFTY,N/A,71,71,N/A,68,90,90,90,0,30.2,N/A,0,3,Fog
7/5/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/6/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/7/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/8/77,KFTY,79,86,79,N/A,72,70,77,63,0,30.04,N/A,0,4,
7/9/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/10/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.42,N/A,N/A,N/A,N/A,N/A
7/11/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/12/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/13/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/14/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05,N/A,N/A,N/A,N/A,N/A
7/15/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/16/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.04,N/A,N/A,N/A,N/A,N/A
7/17/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/18/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.23,N/A,N/A,N/A,N/A,N/A
7/19/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.07,N/A,N/A,N/A,N/A,N/A
7/20/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/21/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/22/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/23/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/24/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/25/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.76,N/A,N/A,N/A,N/A,N/A
7/26/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/27/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/28/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
7/29/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.16,N/A,N/A,N/A,N/A,N/A
7/30/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.33,N/A,N/A,N/A,N/A,N/A
7/31/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.22,N/A,N/A,N/A,N/A,N/A
8/1/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
8/2/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
8/3/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.29,N/A,N/A,N/A,N/A,N/A
8/4/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19,N/A,N/A,N/A,N/A,N/A
